Actual_Default,Predicted_Prob,Loan_Amount,Profit_No_Model,Approved_By_Model,Profit_With_Model
0,0.190856686,465457.5,46545.75,FALSE,0
0,0.041359229,1281712.5,128171.25,TRUE,128171.25
0,0.11762174,495000,49500,TRUE,49500
0,0.02122775,254700,25470,TRUE,25470
0,0.055063227,308133,30813.3,TRUE,30813.3
0,0.182844245,152820,15282,FALSE,0
0,0.035513003,900000,90000,TRUE,90000
0,0.153450119,810000,81000,TRUE,81000
0,0.083258346,781920,78192,TRUE,78192
0,0.039674303,900000,90000,TRUE,90000
1,0.105688525,331920,-331920,TRUE,-331920
1,0.142581472,225000,-225000,TRUE,-225000
0,0.114214385,593010,59301,TRUE,59301
0,0.084403331,1125000,112500,TRUE,112500
0,0.117305245,774000,77400,TRUE,77400
0,0.160380168,142200,14220,TRUE,14220
0,0.013660889,765000,76500,TRUE,76500
0,0.285752257,454500,45450,FALSE,0
0,0.081020591,781920,78192,TRUE,78192
0,0.028213834,824823,82482.3,TRUE,82482.3
0,0.05311876,225000,22500,TRUE,22500
0,0.050321171,755190,75519,TRUE,75519
0,0.14097281,503676,50367.6,TRUE,50367.6
0,0.12421929,270045,27004.5,TRUE,27004.5
1,0.154245916,339241.5,-339241.5,TRUE,-339241.5
0,0.164982189,500490,50049,TRUE,50049
1,0.109086049,1024740,-1024740,TRUE,-1024740
0,0.071340179,375322.5,37532.25,TRUE,37532.25
0,0.188444947,927000,92700,FALSE,0
0,0.023475553,675000,67500,TRUE,67500
0,0.123074685,713889,71388.9,TRUE,71388.9
0,0.048582546,360000,36000,TRUE,36000
0,0.052351517,518562,51856.2,TRUE,51856.2
0,0.041829933,1710000,171000,TRUE,171000
0,0.20791518,225000,22500,FALSE,0
0,0.02609367,225000,22500,TRUE,22500
0,0.072665382,405000,40500,TRUE,40500
0,0.066406887,247500,24750,TRUE,24750
0,0.038543459,808650,80865,TRUE,80865
0,0.023567198,545040,54504,TRUE,54504
1,0.025700876,254700,-254700,TRUE,-254700
0,0.021204851,202500,20250,TRUE,20250
0,0.076537263,254700,25470,TRUE,25470
0,0.25039706,592560,59256,FALSE,0
0,0.020103492,339241.5,33924.15,TRUE,33924.15
0,0.027250292,675000,67500,TRUE,67500
0,0.105183566,781920,78192,TRUE,78192
0,0.029214741,1223010,122301,TRUE,122301
0,0.037468451,651600,65160,TRUE,65160
0,0.062046107,675000,67500,TRUE,67500
0,0.065506195,269550,26955,TRUE,26955
0,0.084289495,125640,12564,TRUE,12564
0,0.126239324,382500,38250,TRUE,38250
0,0.104993621,360000,36000,TRUE,36000
0,0.105740942,900000,90000,TRUE,90000
0,0.100065547,301500,30150,TRUE,30150
0,0.066453068,1255680,125568,TRUE,125568
1,0.524979744,440784,-440784,FALSE,0
0,0.034687355,719946,71994.6,TRUE,71994.6
0,0.05253184,1078200,107820,TRUE,107820
0,0.097892014,354276,35427.6,TRUE,35427.6
0,0.097912156,247500,24750,TRUE,24750
0,0.033602063,468733.5,46873.35,TRUE,46873.35
0,0.063945091,239850,23985,TRUE,23985
0,0.040476344,1129500,112950,TRUE,112950
0,0.034656406,562500,56250,TRUE,56250
0,0.028425237,254700,25470,TRUE,25470
0,0.059308512,167121,16712.1,TRUE,16712.1
0,0.050233478,343800,34380,TRUE,34380
0,0.125979031,1125000,112500,TRUE,112500
0,0.031688901,685012.5,68501.25,TRUE,68501.25
0,0.086777112,157500,15750,TRUE,15750
1,0.207393586,397017,-397017,FALSE,0
0,0.02544818,270000,27000,TRUE,27000
0,0.068443266,528633,52863.3,TRUE,52863.3
0,0.036942824,1256400,125640,TRUE,125640
0,0.048126012,187929,18792.9,TRUE,18792.9
0,0.019106057,239850,23985,TRUE,23985
0,0.022472388,225000,22500,TRUE,22500
0,0.030127694,391500,39150,TRUE,39150
0,0.030373185,1024740,102474,TRUE,102474
0,0.032553795,585000,58500,TRUE,58500
0,0.032389755,2013840,201384,TRUE,201384
1,0.046947316,1223010,-1223010,TRUE,-1223010
0,0.176214571,291384,29138.4,FALSE,0
0,0.042510005,469152,46915.2,TRUE,46915.2
0,0.018355878,454500,45450,TRUE,45450
1,0.258243537,775327.5,-775327.5,FALSE,0
0,0.107128467,1125171,112517.1,TRUE,112517.1
0,0.022697539,1406880,140688,TRUE,140688
1,0.051541855,265851,-265851,TRUE,-265851
0,0.042322808,1687266,168726.6,TRUE,168726.6
0,0.01901309,1687266,168726.6,TRUE,168726.6
1,0.066089103,675000,-675000,TRUE,-675000
1,0.241871327,270000,-270000,FALSE,0
0,0.019552126,247275,24727.5,TRUE,24727.5
0,0.061325719,1006920,100692,TRUE,100692
0,0.050932232,454500,45450,TRUE,45450
0,0.018688305,127350,12735,TRUE,12735
0,0.032521642,135000,13500,TRUE,13500
0,0.105848183,253377,25337.7,TRUE,25337.7
0,0.056979301,531706.5,53170.65,TRUE,53170.65
0,0.077281892,388512,38851.2,TRUE,38851.2
0,0.088824864,792477,79247.7,TRUE,79247.7
0,0.016854286,405000,40500,TRUE,40500
0,0.144826017,501948,50194.8,TRUE,50194.8
0,0.033251247,247275,24727.5,TRUE,24727.5
0,0.029013425,135000,13500,TRUE,13500
0,0.034801777,180000,18000,TRUE,18000
1,0.122170326,864000,-864000,TRUE,-864000
1,0.329380088,197820,-197820,FALSE,0
0,0.075968997,610335,61033.5,TRUE,61033.5
0,0.017548964,1006920,100692,TRUE,100692
0,0.018588217,254700,25470,TRUE,25470
1,0.1030692,746626.5,-746626.5,TRUE,-746626.5
0,0.018303367,765000,76500,TRUE,76500
0,0.097017817,112068,11206.8,TRUE,11206.8
0,0.186523059,651600,65160,FALSE,0
0,0.090521488,1288350,128835,TRUE,128835
0,0.097290346,134775,13477.5,TRUE,13477.5
0,0.080028325,545040,54504,TRUE,54504
0,0.022674713,202500,20250,TRUE,20250
0,0.103484398,324000,32400,TRUE,32400
0,0.102213623,1078200,107820,TRUE,107820
1,0.039795034,977724,-977724,TRUE,-977724
0,0.049311675,688500,68850,TRUE,68850
0,0.044381897,234000,23400,TRUE,23400
0,0.036898609,178290,17829,TRUE,17829
0,0.038902682,318645,31864.5,TRUE,31864.5
0,0.082635661,101880,10188,TRUE,10188
0,0.021948375,95940,9594,TRUE,9594
0,0.053338996,225000,22500,TRUE,22500
